dimension,steps,h,epsilon,h1_error,mean_norm_sq,variance,kl_target_to_euler,current_factor,prior_factor
2,16,0.0625,0.0,0.0,0.0,1.0281681036652581,0.0003822795738502305,95.63560920082658,1936
2,16,0.0625,0.02,0.0004,0.0001658562101893659,1.0281681036652581,0.0004629357474847384,95.63560920082658,1936
2,16,0.0625,0.04,0.0016,0.0006634248407574636,1.0281681036652581,0.0007049042683882623,95.63560920082658,1936
2,16,0.0625,0.08,0.0064,0.0026536993630298543,1.0281681036652581,0.0016727783520022466,95.63560920082658,1936
2,32,0.03125,0.0,0.0,0.0,1.0137923169447862,9.339162644432693e-05,95.63560920082658,1936
2,32,0.03125,0.02,0.0004,0.0001627893815863368,1.0137923169447862,0.00017367896876545504,95.63560920082658,1936
2,32,0.03125,0.04,0.0016,0.0006511575263453472,1.0137923169447862,0.0004145409957290614,95.63560920082658,1936
2,32,0.03125,0.08,0.0064,0.0026046301053813887,1.0137923169447862,0.00137798910358382,95.63560920082658,1936
2,64,0.015625,0.0,0.0,0.0,1.0068250774576406,2.3080507717433175e-05,95.63560920082658,1936
2,64,0.015625,0.02,0.0004,0.00016129684575673343,1.0068250774576406,0.00010318223013577963,95.63560920082658,1936
2,64,0.015625,0.04,0.0016,0.0006451873830269337,1.0068250774576406,0.00034348739739093,95.63560920082658,1936
2,64,0.015625,0.08,0.0064,0.002580749532107735,1.0068250774576406,0.0013047080664113095,95.63560920082658,1936
2,128,0.0078125,0.0,0.0,0.0,1.003394993726862,5.737003387350746e-06,95.63560920082658,1936
2,128,0.0078125,0.02,0.0004,0.00016056046712243402,1.003394993726862,8.57456082371524e-05,95.63560920082658,1936
2,128,0.0078125,0.04,0.0016,0.0006422418684897361,1.003394993726862,0.00032577142278600226,95.63560920082658,1936
2,128,0.0078125,0.08,0.0064,0.0025689674739589443,1.003394993726862,0.0012858746809818458,95.63560920082658,1936
2,256,0.00390625,0.0,0.0,0.0,1.0016931383843208,1.4301291135739632e-06,95.63560920082658,1936
2,256,0.00390625,0.02,0.0004,0.00016019471033157625,1.0016931383843208,8.139209760127017e-05,95.63560920082658,1936
2,256,0.00390625,0.04,0.0016,0.000640778841326305,1.0016931383843208,0.0003212780030642478,95.63560920082658,1936
2,256,0.00390625,0.08,0.0064,0.00256311536530522,1.0016931383843208,0.0012808216249160472,95.63560920082658,1936
2,512,0.001953125,0.0,0.0,0.0,1.0008454830200706,3.5701822730896827e-07,95.63560920082658,1936
2,512,0.001953125,0.02,0.0004,0.00016001243518346978,1.0008454830200706,8.029564906386025e-05,95.63560920082658,1936
2,512,0.001953125,0.04,0.0016,0.0006400497407338791,1.0008454830200706,0.00032011154157418023,95.63560920082658,1936
2,512,0.001953125,0.08,0.0064,0.0025601989629355166,1.0008454830200706,0.0012793751116145719,95.63560920082658,1936
4,8,0.125,0.0,0.0,0.0,1.0587955275319167,0.0032027787216269837,527.724055878062,9856
4,8,0.125,0.02,0.0004,0.00017233970216384622,1.0587955275319167,0.003284163511080171,527.724055878062,9856
4,8,0.125,0.04,0.0016,0.0006893588086553849,1.0587955275319167,0.003528317879438622,527.724055878062,9856
4,8,0.125,0.08,0.0064,0.0027574352346215396,1.0587955275319167,0.004504935352874426,527.724055878062,9856
4,16,0.0625,0.0,0.0,0.0,1.0281681036652581,0.000764559147700461,527.724055878062,9856
4,16,0.0625,0.02,0.0004,0.0001658562101893659,1.0281681036652581,0.0008452153213346358,527.724055878062,9856
4,16,0.0625,0.04,0.0016,0.0006634248407574636,1.0281681036652581,0.0010871838422384927,527.724055878062,9856
4,16,0.0625,0.08,0.0064,0.0026536993630298543,1.0281681036652581,0.002055057925852588,527.724055878062,9856
4,32,0.03125,0.0,0.0,0.0,1.0137923169447862,0.00018678325288865386,527.724055878062,9856
