dimension,steps,h,epsilon,source_sigma,target_sigma,cross_covariance,h5_error,euler_mean_norm,euler_variance,mean_w2_component,covariance_w2_component,w2,source_score_l8,target_score_l8,joint_score_l8,source_hessian_l2,target_hessian_l2,joint_hessian_l2,source_alpha,target_alpha,lemma_joint_alpha,source_M,target_M,lemma_joint_M,H8_source,H8_target,independent_factorization
1,64,0.015625,0.04,0.5,1.5,0.0,0.04,1.0404130675492744,2.242501076820325,0.04041306754927443,0.002501727273007903,0.04049042686970254,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.04,0.75,2.0,0.0,0.04,1.0494209512575667,3.9467477554125905,0.049420951257566736,0.013357667970253173,0.05119431332488321,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.04,1.0,0.75,0.0,0.04,1.018703357041704,0.5743902322155865,0.018703357041703894,0.00788536878316004,0.020297650245185758,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.04,2.0,1.25,0.0,0.04,1.0270603740936097,1.5478584070439876,0.02706037409360973,0.005870421923830582,0.027689812199614056,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.0,0.5,1.5,0.0,0.0,0.9999999999999998,2.246240777238735,2.220446049250313e-16,0.001253598089811847,0.001253598089811847,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.0,0.75,2.0,0.0,0.0,0.9999999999999993,3.9732593134703893,6.661338147750939e-16,0.006696382015426883,0.006696382015426883,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.0,1.0,0.75,0.0,0.0,0.9999999999999999,0.5683995202399131,1.1102230246251565e-16,0.003922754823007857,0.003922754823007857,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.0,2.0,1.25,0.0,0.0,1.0,1.5551249060007581,0.0,0.002953526928223038,0.002953526928223038,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.04,0.5,1.5,0.0,0.04,1.040431043755521,2.246240777238735,0.04043104375552109,0.001253598089811847,0.0404504735118347,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.04,0.75,2.0,0.0,0.04,1.04953747282834,3.9732593134703893,0.04953747282833998,0.006696382015426883,0.04998802602939082,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.04,1.0,0.75,0.0,0.04,1.018610091259448,0.5683995202399131,0.018610091259448014,0.003922754823007857,0.019019029998567614,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,128,0.0078125,0.04,2.0,1.25,0.0,0.04,1.0270643723027957,1.5551249060007581,0.02706437230279568,0.002953526928223038,0.027225054076347996,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.0,0.5,1.5,0.0,0.0,1.0000000000000002,2.248117970855618,2.220446049250313e-16,0.0006274742894554208,0.0006274742894554208,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.0,0.75,2.0,0.0,0.0,1.0000000000000004,3.986600889009876,4.440892098500626e-16,0.0033525877086169054,0.0033525877086169054,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.0,1.0,0.75,0.0,0.0,1.0,0.5654384035980339,0.0,0.0019563841061752685,0.0019563841061752685,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.0,2.0,1.25,0.0,0.0,0.9999999999999987,1.5587988638709014,1.3322676295501878e-15,0.0014813321896618437,0.0014813321896618437,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.04,0.5,1.5,0.0,0.04,1.040440215927556,2.248117970855618,0.04044021592755609,0.0006274742894554208,0.040445083610388156,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.04,0.75,2.0,0.0,0.04,1.0495962849216627,3.986600889009876,0.04959628492166268,0.0033525877086169054,0.049709469141952366,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.04,1.0,0.75,0.0,0.04,1.0185637645812153,0.5654384035980339,0.018563764581215336,0.0019563841061752685,0.018666568891943697,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,256,0.00390625,0.04,2.0,1.25,0.0,0.04,1.0270665943963222,1.5587988638709014,0.027066594396322197,0.0014813321896618437,0.0271071001265563,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,512,0.001953125,0.0,0.5,1.5,0.0,0.0,1.0000000000000029,2.249058383762485,2.886579864025407e-15,0.00031390492460547925,0.00031390492460547925,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,512,0.001953125,0.0,0.75,2.0,0.0,0.0,0.9999999999999998,3.993293236474621,2.220446049250313e-16,0.0016773942942494013,0.0016773942942494013,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,512,0.001953125,0.0,1.0,0.75,0.0,0.0,1.0,0.5639663681425604,0.0,0.0009769424839622953,0.0009769424839622953,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,512,0.001953125,0.0,2.0,1.25,0.0,0.0,0.9999999999999993,1.5606460326865583,6.661338147750939e-16,0.0007418070364484386,0.0007418070364484386,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
