dimension,steps,h,delta,stopped_steps,epsilon,h1_full_horizon_error,target_variance,euler_variance,mean_norm_sq,kl_target_to_euler,conditional_score_l8_to_four,theorem_factor,h3_full_joint_holds,h4_conditional_holds
2,512,0.001953125,0.375,320,0.0,0.0,0.609375,0.6110566788066952,0.0,3.7939433405022663e-06,19.595917942265423,443.73504576107405,False,True
2,512,0.001953125,0.375,320,0.02,0.0004,0.609375,0.6110566788066952,5.429392275304952e-05,4.822020086793239e-05,19.595917942265423,443.73504576107405,False,True
2,512,0.001953125,0.375,320,0.08,0.0064,0.609375,0.6110566788066952,0.0008687027640487923,0.0007146140637793843,19.595917942265423,443.73504576107405,False,True
2,512,0.001953125,0.25,384,0.0,0.0,0.4375,0.43933606141563586,0.0,8.757150523251711e-06,19.595917942265423,2087.191835884531,False,True
2,512,0.001953125,0.25,384,0.02,0.0004,0.4375,0.43933606141563586,4.824891764684036e-05,6.366832431966424e-05,19.595917942265423,2087.191835884531,False,True
2,512,0.001953125,0.25,384,0.08,0.0064,0.4375,0.43933606141563586,0.0007719826823494458,0.0008873359312656301,19.595917942265423,2087.191835884531,False,True
2,512,0.001953125,0.125,448,0.0,0.0,0.234375,0.2363077595830982,0.0,3.3631472321330597e-05,19.595917942265423,32807.19183588453,False,True
2,512,0.001953125,0.125,448,0.02,0.0004,0.234375,0.2363077595830982,2.7203983018066968e-05,9.119196687740541e-05,19.595917942265423,32807.19183588453,False,True
2,512,0.001953125,0.125,448,0.08,0.0064,0.234375,0.2363077595830982,0.0004352637282890715,0.0009545993852179725,19.595917942265423,32807.19183588453,False,True
2,512,0.001953125,0.0625,480,0.0,0.0,0.12109375,0.12305958171962716,0.0,0.00012896979913554554,19.595917942265423,524327.1918358846,False,True
2,512,0.001953125,0.0625,480,0.02,0.0004,0.12109375,0.12305958171962716,1.2139285666761291e-05,0.0001782925966663275,19.595917942265423,524327.1918358846,False,True
2,512,0.001953125,0.0625,480,0.08,0.0064,0.12109375,0.12305958171962716,0.00019422857066818066,0.0009181345596280567,19.595917942265423,524327.1918358846,False,True
